c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
FERN VERS,Alameda,Fernside Blvd. & Versailles Ave.,32,Fernside Blvd. & Versailles Ave.,0,"Fernside Blvd. & Versailles Ave., Alameda","Fernside Blvd. & Versailles Ave., Alameda",37.7670390,-122.2322224,Fernside Blvd. & Versailles Ave.,01,FEVE,FERNVERS,,FERN VERS,Alameda,Fernside Blvd. & Versailles Ave.,,,Fernside Blvd. & Versailles Ave.,,,,1,1
FTVL STAT,Oakland,Fruitvale Station Shopping Center,33,Fruitvale Station Shopping Center,0,"Fruitvale Station Shopping Center, Oakland","Fruitvale Station Shopping Center, Oakland",37.7740562,-122.2296557,Fruitvale Station Shopping Center,10,FVST,FTVLSTAT,,FTVL STAT,Oakland,Fruitvale Station Shopping Center,,,Fruitvale Station Shopping Center,,,,1,1
K- M ART,Oakland,Home Depot Oakland,18,Home Depot Oakland,0,"Home Depot Oakland, Oakland","Home Depot Oakland, Oakland",37.7696276,-122.2297048,Home Depot Oakland,10,KMRT,K- MART,,K- M ART,Oakland,Home Depot Oakland,,,Home Depot Oakland,,,,1,1
PARK CLEM,Alameda,Park St. & Clement Ave.,23,Park St. & Clement Ave.,2,"Park St. & Clement Ave., Alameda","Park St. & Clement Ave., Alameda",37.7696310,-122.2382891,Park St. & Clement Ave.,01,PKCL,PARKCLEM,,PARK CLEM,Alameda,Park St. & Clement Ave.,,,Park St. & Clement Ave.,,,,1,1
FTVL BART,Oakland,Fruitvale BART,14,Fruitvale BART,2,"Fruitvale BART, Oakland","Fruitvale BART, Oakland",37.7752472,-122.2250640,Fruitvale BART,10,FBBA,FTVLBART,,FTVL BART,Oakland,Fruitvale BART,,,Fruitvale BART,,,,1,1
FTVL CNTR,Oakland,Fruitvale Center,16,Fruitvale Center,0,"Fruitvale Center, Oakland","Fruitvale Center, Oakland",37.7735466,-122.2280693,Fruitvale Center,10,FTCN,FTVLCNTR,,FTVL CNTR,Oakland,Fruitvale Center,,,,,,,1,1
HIGH FERN,Alameda,High St. & Fernside Blvd.,25,High St. & Fernside Blvd.,2,"High St. & Fernside Blvd., Alameda","High St. & Fernside Blvd., Alameda",37.7635816,-122.2265045,High St. & Fernside Blvd.,01,HIFE,HIGHFERN,,HIGH FERN,Alameda,High St. & Fernside Blvd.,,,,,,,1,1
HASS EDGE,Oakland,Hassler Way & Edgewater Dr.,27,Hassler Way & Edgewater Dr.,2,"Hassler Way & Edgewater Dr., Oakland","Hassler Way & Edgewater Dr., Oakland",37.7458643,-122.2066315,Hassler Way & Edgewater Dr.,10,HAED,HASSEDGE,,HASS EDGE,Oakland,Hassler Way & Edgewater Dr.,,,Hassler Way & Edgewater Dr.,,,,1,1
OAKL YARD,Oakland,Oakland Muncipal Service Center,31,Oakland Muncipal Service Center,0,Oakland Muncipal Service Center,Oakland Muncipal Service Center,37.7489053,-122.2095873,Oakland Muncipal Service Center,10,OAYD,OAKLYARD,,OAKL YARD,Oakland,Oakland Muncipal Service Center,,,Oakland Muncipal Service Center,,,,,0
FRMT SRHS,Oakland,Fremont High School,19,Fremont High School,0,"Fremont High School, Oakland","Fremont High School, Oakland",37.7737449,-122.2098315,Fremont High School,10,FRSR,FRMTSRHS,,FRMT SRHS,Oakland,Fremont High School,,,Fremont High School,,,,1,1
HIGH E.14,Oakland,High St. & International Blvd.,30,High St. & International Blvd.,2,"High St. & International Blvd., Oakland","High St. & International Blvd., Oakland",37.7724340,-122.2149266,High St. & International Blvd.,10,HI14,HIGHE.14,,HIGH E.14,Oakland,High St. & International Blvd.,,,High St. & International Blvd.,,,,1,1
HIGH FTHL,Oakland,High St. & Foothill Blvd.,25,High St. & Foothill Blvd.,0,"High St. & Foothill Blvd., Oakland","High St. & Foothill Blvd., Oakland",37.7747207,-122.2118090,High St. & Foothill Blvd.,10,HIFT,HIGHFTHL,,HIGH FTHL,Oakland,High St. & Foothill Blvd.,,,,,,,1,1
50TH FTHL,Oakland,50th Ave. & Foothill Blvd.,26,50th Ave. & Foothill Blvd.,1,"50th Ave. & Foothill Blvd., Oakland","50th Ave. & Foothill Blvd., Oakland",37.7724852,-122.2065573,50th Ave. & Foothill Blvd.,10,50FT,50THFTHL,,50TH FTHL,Oakland,50th Ave. & Foothill Blvd.,,,,,,,1,1
D4,Oakland,AC Transit East Oakland Division,32,Fruitvale BART,2,AC Transit East Oakland Division,Fruitvale BART,37.7614709,-122.2044441,AC Transit East Oakland Division,10,D4,D4,,D4,Oakland,AC Transit East Oakland Division,,,AC Transit East Oakland Division,Fruitvale BART,1,Fruitvale BART as the destination is an ugly kludge,,0
SEMI DIV4,Oakland,Seminary Ave. & San Leandro St.,31,Seminary Ave. & San Leandro St.,2,Seminary Ave. & San Leandro St.,Seminary Ave. & San Leandro St.,37.7613656,-122.2048900,Seminary Ave. & San Leandro St.,10,DGD4,SEMIDIV4,,SEMI DIV4,Oakland,Seminary Ave. & San Leandro St.,,,Seminary Ave. & San Leandro St.,,,,,0
PALO VSTA,Oakland,Palo Vista Gardens,18,Palo Vista Gardens,1,"Palo Vista Gardens, Oakland","Palo Vista Gardens, Oakland",37.7611781,-122.1990813,Palo Vista Gardens,10,PVGD,PALOVSTA,,PALO VSTA,Oakland,Palo Vista Gardens,,,,,,,1,1
SEMI E.14,Oakland,Seminary Ave. & International Blvd.,35,Seminary Ave. & International Blvd.,2,"Seminary Ave. & International Blvd., Oakland","Seminary Ave. & International Blvd., Oakland",37.7650700,-122.1994148,Seminary Ave. & International Blvd.,10,SE14,SEMIE.14,,SEMI E.14,Oakland,Seminary Ave. & International Blvd.,,,Seminary Ave. & International Blvd.,,,,1,1
MARK VANN,San Francisco,Market St. & South Van Ness Ave.,32,San Francisco,2,"Market St. & South Van Ness Ave., San Francisco",San Francisco,37.7751610,-122.4190823,Market St. & South Van Ness Ave.,14,VNMK,MARKVANN,,MARK VANN,San Francisco,Market St. & South Van Ness Ave.,,,,San Francisco,,,1,
CIVC BART,San Francisco,Civic Center BART,17,Civic Center BART,2,"Civic Center BART, San Francisco","Civic Center BART, San Francisco",37.7798600,-122.4131959,Civic Center BART,14,CIBA,CIVCBART,,CIVC BART,San Francisco,Civic Center BART,,,Civic Center BART,Civic Center BART,,,1,1
POWL BART,San Francisco,Powell St. BART,15,Powell St. BART,2,"Powell St. BART, San Francisco","Powell St. BART, San Francisco",37.7845186,-122.4072728,Powell St. BART,14,POBA,POWLBART,,POWL BART,San Francisco,Powell St. BART,,,Powell St. BART,,,,1,1
BEAL HOWD,San Francisco,Beale St. & Howard St.,22,Transbay Temporary Terminal,0,"Beale St. & Howard St., San Francisco","Transbay Temporary Terminal, San Francisco",37.7896373,-122.3939109,Beale St. & Howard St.,14,BEHW,BEALHOWD,,BEAL HOWD,San Francisco,Beale St. & Howard St.,,,,Transbay Temporary Terminal,,,1,1
TRAN TRCR,San Francisco,Salesforce Transit Center,25,San Francisco,2,Salesforce Transit Center,San Francisco,37.7892268,-122.3966977,Salesforce Transit Center,14,ETSF,TRANTRCR,,TRAN TRCR,San Francisco,Salesforce Transit Center,,,Salesforce Transit Center,San Francisco,,,,0
MONT BART,San Francisco,Montgomery St. BART,19,Montgomery St. BART,2,"Montgomery St. BART, San Francisco","Montgomery St. BART, San Francisco",37.7904825,-122.3997915,Montgomery St. BART,14,MOBA,MONTBART,,MONT BART,San Francisco,Montgomery St. BART,,,Montgomery St. BART,,,,1,1
CAST TEWK,Richmond,Castro St. & Tewksbury Ave.,27,Point Richmond,2,"Castro St. & Tewksbury Ave., Richmond",Point Richmond,37.9288703,-122.3867859,Castro St. & Tewksbury Ave.,13,CATE,CASTTEWK,,CAST TEWK,Richmond,Castro St. & Tewksbury Ave.,,,,Point Richmond,,,1,
RICH MACD,Richmond,Richmond Parkway & Macdonald Ave.,33,Richmond Parkway & Macdonald Ave.,2,"Richmond Parkway & Macdonald Ave., Richmond","Richmond Parkway & Macdonald Ave., Richmond",37.9356996,-122.3719374,Richmond Parkway & Macdonald Ave.,13,RIMD,RICHMACD,,RICH MACD,Richmond,Richmond Parkway & Macdonald Ave.,,,Richmond Parkway & Macdonald Ave.,,,,1,1
MIDD PARK,Oakland,Middle Harbor Shoreline Park,28,Middle Harbor Shoreline Park,0,"Middle Harbor Shoreline Park, Oakland","Middle Harbor Shoreline Park, Oakland",37.8051508,-122.3231542,Middle Harbor Shoreline Park,10,MHSP,MIDDPARK,,MIDD PARK,Oakland,Middle Harbor Shoreline Park,,,,,,,1,1
CITY HALL,Alameda,Alameda City Hall West,22,Alameda City Hall West,0,Alameda City Hall West,Alameda City Hall West,37.7858392,-122.3032287,Alameda City Hall West,01,CIHL,CITYHALL,,CITY HALL,Alameda,Alameda City Hall West,,,Alameda City Hall West,,,,,0
FERR TERM,Alameda,Alameda Main St. Ferry Terminal,31,Alameda Main St. Ferry Terminal,0,Alameda Main St. Ferry Terminal,Alameda Main St. Ferry Terminal,37.7908667,-122.2943548,Alameda Main St. Ferry Terminal,01,FETE,FERRTERM,,FERR TERM,Alameda,Alameda Main St. Ferry Terminal,,,Alameda Main St. Ferry Terminal,,,,,0
PAAM RANG,Alameda,Pan Am Way & Ranger Ave.,24,Alameda Point,0,Pan Am Way & Ranger Ave.,Alameda Point,37.7847210,-122.2999741,Pan Am Way & Ranger Ave.,01,PARA,PAAMRANG,,PAAM RANG,Alameda,Pan Am Way & Ranger Ave.,,,,Alameda Point,,,,
ATLA 3RD,Alameda,Atlantic Ave. & 3rd St.,23,Atlantic Ave. & 3rd St.,0,"Atlantic Ave. & 3rd St., Alameda","Atlantic Ave. & 3rd St., Alameda",37.7799493,-122.2880012,Atlantic Ave. & 3rd St.,01,AT3R,ATLA 3RD,,ATLA 3RD,Alameda,Atlantic Ave. & 3rd St.,,,,,,,1,1
WOAK BART,Oakland,West Oakland BART,17,West Oakland BART,2,West Oakland BART,West Oakland BART,37.8047954,-122.2947420,West Oakland BART,10,WOBA,WOAKBART,,WOAK BART,Oakland,West Oakland BART,,,West Oakland BART,,,,,0
WOAK P.O.,Oakland,West Oakland Post Office,24,West Oakland Post Office,1,West Oakland Post Office,West Oakland Post Office,37.8065676,-122.3005281,West Oakland Post Office,10,WOPO,WOAKP.O.,,WOAK P.O.,Oakland,West Oakland Post Office,,,,,,,,0
10TH MKT.,Oakland,10th St. & Market St.,21,10th St. & Market St.,1,"10th St. & Market St., Oakland","10th St. & Market St., Oakland",37.8053788,-122.2816575,10th St. & Market St.,10,10MK,10THMKT.,,10TH MKT.,Oakland,10th St. & Market St.,,,10th St. & Market St.,,,,1,1
3RD MLK,Oakland,3rd St. & Martin Luther King Jr. Way,36,Jack London Square,0,"3rd St. & Martin Luther King Jr. Way, Oakland",Jack London Square,37.7979481,-122.2811224,3rd St. & Martin Luther King Jr. Way,10,3MLK,3RD MLK,,3RD MLK,Oakland,3rd St. & Martin Luther King Jr. Way,,,3rd St. & Martin Luther King Jr. Way,Jack London Square,,,1,
7TH ADEL,Oakland,7th St. & Adeline St.,21,7th St. & Adeline St.,0,"7th St. & Adeline St., Oakland","7th St. & Adeline St., Oakland",37.8038717,-122.2882049,7th St. & Adeline St.,10,7TAD,7TH ADEL,,7TH ADEL,Oakland,7th St. & Adeline St.,,,,,,,1,1
COMM ST.,Emeryville,Commodore Street,16,Commodore Street,0,"Commodore Street, Emeryville","Commodore Street, Emeryville",37.8371183,-122.3042253,Commodore Street,06,COST,COMMST.,,COMM ST.,Emeryville,Commodore Street,,,,,,,1,1
EMER MARI,Emeryville,Emeryville Marina,17,Emeryville Marina,0,Emeryville Marina,Emeryville Marina,37.8371040,-122.3073144,Emeryville Marina,06,EMMA,EMERMARI,,EMER MARI,Emeryville,Emeryville Marina,,,,,,,,0
ARMY BASE,Oakland,West 14th St. at Midway St.,27,West 14th St. at Midway St.,0,West 14th St. at Midway St.,West 14th St. at Midway St.,37.8152371,-122.3065570,West 14th St. at Midway St.,10,OAB,ARMYBASE,,ARMY BASE,Oakland,West 14th St. At Midway St.,,,West 14th St. at Midway St.,,,,,0
OAKL MILI,Oakland,Oakland Military Institute,26,Oakland Military Institute,0,"Oakland Military Institute, Oakland","Oakland Military Institute, Oakland",37.8130737,-122.3041534,Oakland Military Institute,10,OAMI,OAKLMILI,,OAKL MILI,Oakland,Oakland Military Institute,,,,,,,1,1
TOLL PLZA,Oakland,Bay Bridge Toll Plaza,21,Bay Bridge Toll Plaza,2,Bay Bridge Toll Plaza,Bay Bridge Toll Plaza,37.8232220,-122.3153500,Bay Bridge Toll Plaza,10,TOPL,TOLLPLZA,,TOLL PLZA,Oakland,Bay Bridge Toll Plaza,,,Bay Bridge Toll Plaza,,,,,0
16TH WOOD,Oakland,16th St. & Wood St.,19,16th St. & Wood St.,0,"16th St. & Wood St., Oakland","16th St. & Wood St., Oakland",37.8139559,-122.2972812,16th St. & Wood St.,10,16WD,16THWOOD,,16TH WOOD,Oakland,16th St. & Wood St.,,,,,,the old Amtrak location,1,1
18TH ADEL,Oakland,18th St. & Adeline St.,22,18th St. & Adeline St.,2,"18th St. & Adeline St., Oakland","18th St. & Adeline St., Oakland",37.8123076,-122.2851534,18th St. & Adeline St.,10,18AD,18THADEL,,18TH ADEL,Oakland,18th St. & Adeline St.,,,,,,,1,1
BNCH SCHL,Oakland,Ralph Bunche High School,24,Ralph Bunche High School,0,"Ralph Bunche High School, Oakland","Ralph Bunche High School, Oakland",37.8130453,-122.2870729,Ralph Bunche High School,10,BUSC,BNCHSCHL,,BNCH SCHL,Oakland,Ralph Bunche High School,,,Ralph Bunche High School,,,,1,1
GRAN ADEL,Oakland,West Grand Ave. & Adeline St.,29,West Grand Ave. & Adeline St.,0,"West Grand Ave. & Adeline St., Oakland","West Grand Ave. & Adeline St., Oakland",37.8155784,-122.2840117,West Grand Ave. & Adeline St.,10,GRAD,GRANADEL,,GRAN ADEL,Oakland,West Grand Ave. & Adeline St.,,,West Grand Ave. & Adeline St.,,,,1,1
GRAN MNDL,Oakland,West Grand Ave. & Mandela Parkway,33,West Grand Ave. & Mandela Parkway,0,"West Grand Ave. & Mandela Parkway, Oakland","West Grand Ave. & Mandela Parkway, Oakland",37.8169727,-122.2895170,West Grand Ave. & Mandela Parkway,10,GRMN,GRANMNDL,,GRAN MNDL,Oakland,West Grand Ave. & Mandela Parkway,,,West Grand Ave. & Mandela Parkway,,,,1,1
PERA GRAN,Oakland,Peralta St. & West Grand Ave.,29,Peralta St. & West Grand Ave.,2,"Peralta St. & West Grand Ave., Oakland","Peralta St. & West Grand Ave., Oakland",37.8169945,-122.2893798,Peralta St. & West Grand Ave.,10,PEGR,PERAGRAN,,PERA GRAN,Oakland,Peralta St. & West Grand Ave.,,,Peralta St. & West Grand Ave.,,,,1,1
EMRY MKT.,Emeryville,Public Market Emeryville,24,Public Market Emeryville,2,Public Market Emeryville,Public Market Emeryville,37.8420113,-122.2951992,Public Market Emeryville,06,EMMK,EMRYMKT.,,EMRY MKT.,Emeryville,Public Market Emeryville,,,Public Market Emeryville,,,,,0
POWL I.80,Emeryville,Powell St. & I-80,17,Powell St. & I-80,0,"Powell St. & I-80, Emeryville","Powell St. & I-80, Emeryville",37.8375640,-122.2989613,Powell St. & I-80,06,PO80,POWLI.80,,POWL I.80,Emeryville,Powell St. & I-80,,,Powell St. & I-80,,,,1,1
POWL CHRI,Emeryville,Powell St. & Christie St.,25,Powell St. & Christie St.,0,"Powell St. & Christie St., Emeryville","Powell St. & Christie St., Emeryville",37.8384830,-122.2947060,Powell St. & Christie St.,06,POCH,POWLCHRI,,POWL CHRI,Emeryville,Powell St. & Christie St.,,,Powell St. & Christie St.,,,,1,1
POWL PLAZ,Emeryville,Powell Plaza Shopping Center,28,Powell Plaza Shopping Center,2,"Powell Plaza Shopping Center, Emeryville","Powell Plaza Shopping Center, Emeryville",37.8384365,-122.2931203,Powell Plaza Shopping Center,06,POPL,POWLPLAZ,,POWL PLAZ,Emeryville,Powell Plaza Shopping Center,,,Powell Plaza Shopping Center,,,,1,1
40TH HOLL,Emeryville,40th St. & Hollis St.,21,40th St. & Hollis St.,2,"40th St. & Hollis St., Emeryville","40th St. & Hollis St., Emeryville",37.8296676,-122.2851164,40th St. & Hollis St.,06,40HO,40THHOLL,,40TH HOLL,Emeryville,40th St. & Hollis St.,,,40th St. & Hollis St.,,,,1,1
HOLL 45TH,Emeryville,Hollis St. & 45th St.,21,Hollis St. & 45th St.,2,"Hollis St. & 45th St., Emeryville","Hollis St. & 45th St., Emeryville",37.8326801,-122.2863626,Hollis St. & 45th St.,06,45HO,HOLL45TH,,HOLL 45TH,Emeryville,Hollis St. & 45th St.,,,Hollis St. & 45th St.,,,,1,1
EMER AMTR,Emeryville,Emeryville Amtrak,17,Emeryville Amtrak,0,Emeryville Amtrak,Emeryville Amtrak,37.8391726,-122.2908989,Emeryville Amtrak,06,EMAT,EMERAMTR,,EMER AMTR,Emeryville,Emeryville Amtrak,,,Emeryville Amtrak,,,,,0
EMAT-A,Emeryville,Emeryville Amtrak,17,Emeryville Amtrak,0,Emeryville Amtrak,Emeryville Amtrak,37.8391726,-122.2908989,Emeryville Amtrak,06,EMAT-A,EMERAMTR,EMAT,EMER AMTR,Emeryville,Emeryville Amtrak,EMAT-A,,,,,,,
HARB FORD,Richmond,Harbour Way South & Ford Point,30,Harbour Way South & Ford Point,2,"Harbour Way South & Ford Point, Richmond","Harbour Way South & Ford Point, Richmond",37.9099821,-122.3591036,Harbour Way South & Ford Point,13,HAFP,HARBFORD,,HARB FORD,Richmond,Harbour Way South & Ford Point,,,Harbour Way South & Ford Point,,,,1,1
HALL MARI,Richmond,Hall Ave. & Marina Way,22,Hall Ave. & Marina Way,0,"Hall Ave. & Marina Way, Richmond","Hall Ave. & Marina Way, Richmond",37.9141405,-122.3558217,Hall Ave. & Marina Way,13,HAMW,HALLMARI,,HALL MARI,Richmond,Hall Ave. & Marina Way,,,Hall Ave. & Marina Way,,,,1,1
PT. ISBL,Richmond,Point Isabel Regional Shoreline,31,Point Isabel Regional Shoreline,0,"Point Isabel Regional Shoreline, Richmond","Point Isabel Regional Shoreline, Richmond",37.8991940,-122.3245514,Point Isabel Regional Shoreline,13,PTIS,PT. ISBL,,PT. ISBL,Richmond,Point Isabel Regional Shoreline,,,Point Isabel Regional Shoreline,,,,1,1
MARI REGA,Richmond,Marina Bay Way & Regatta Blvd.,30,Marina Bay Way & Regatta Blvd.,0,"Marina Bay Way & Regatta Blvd., Richmond","Marina Bay Way & Regatta Blvd., Richmond",37.9167825,-122.3445894,Marina Bay Way & Regatta Blvd.,13,MBRE,MARIREGA,,MARI REGA,Richmond,Marina Bay Way & Regatta Blvd.,,,,,,,1,1
BERK MARI,Berkeley,Berkeley Marina,15,Berkeley Marina,2,Berkeley Marina,Berkeley Marina,37.8628126,-122.3172785,Berkeley Marina,03,BEMA,BERKMARI,,BERK MARI,Berkeley,Berkeley Marina,,,,,,,,0
MARR IOTT,Berkeley,Marina Blvd. & Spinnaker Way,28,Marina Blvd. & Spinnaker Way,0,"Marina Blvd. & Spinnaker Way, Berkeley","Marina Blvd. & Spinnaker Way, Berkeley",37.8705625,-122.3146786,Marina Blvd. & Spinnaker Way,03,BRMR,MARRIOTT,,MARR IOTT,Berkeley,Marina Blvd. & Spinnaker Way,,,Marina Blvd. & Spinnaker Way,,,,1,1
G.G. FLDS,Berkeley,Golden Gate Fields,18,Golden Gate Fields,0,"Golden Gate Fields, Berkeley","Golden Gate Fields, Berkeley",37.8781563,-122.3075812,Golden Gate Fields,03,GGF,G.G.FLDS,,G.G. FLDS,Berkeley,Golden Gate Fields,,,Golden Gate Fields,,,,1,1
RADD MARI,Berkeley,Radisson Hotel Berkeley Marina,30,Radisson Hotel Berkeley Marina,0,Radisson Hotel Berkeley Marina,Radisson Hotel Berkeley Marina,37.8631115,-122.3172820,Radisson Hotel Berkeley Marina,03,RADD,RADDMARI,,RADD MARI,Berkeley,Radisson Hotel Berkeley Marina,,,Radisson Hotel Berkeley Marina,,,,,0
65TH HOLL,Emeryville,65th St. & Hollis St.,21,65th St. & Hollis St.,2,"65th St. & Hollis St., Emeryville","65th St. & Hollis St., Emeryville",37.8467634,-122.2917360,65th St. & Hollis St.,06,65HO,65THHOLL,,65TH HOLL,Emeryville,65th St. & Hollis St.,,,65th St. & Hollis St.,,,,1,1
7TH FOLG,Berkeley,7th St. & Folger Ave.,21,7th St. & Folger Ave.,0,"7th St. & Folger Ave., Berkeley","7th St. & Folger Ave., Berkeley",37.8521796,-122.2913787,7th St. & Folger Ave.,03,7TFO,7TH FOLG,,7TH FOLG,Berkeley,7th St. & Folger Ave.,,,7th St. & Folger Ave.,,,,1,1
ASHB S.P.,Berkeley,Ashby Ave. & San Pablo Ave.,27,Ashby Ave. & San Pablo Ave.,2,"Ashby Ave. & San Pablo Ave., Berkeley","Ashby Ave. & San Pablo Ave., Berkeley",37.8521596,-122.2866969,Ashby Ave. & San Pablo Ave.,03,ASSP,ASHBS.P.,,ASHB S.P.,Berkeley,Ashby Ave. & San Pablo Ave.,,,,,,,1,1
DWIG S.P.,Berkeley,Dwight Way & San Pablo Ave.,27,Dwight Way & San Pablo Ave.,2,"Dwight Way & San Pablo Ave., Berkeley","Dwight Way & San Pablo Ave., Berkeley",37.8610956,-122.2895445,Dwight Way & San Pablo Ave.,03,DWSP,DWIGS.P.,,DWIG S.P.,Berkeley,Dwight Way & San Pablo Ave.,,,,,,,1,1
S.P. ALTZ,Oakland,San Pablo Ave. & Alcatraz Ave.,30,San Pablo Ave. & Alcatraz Ave.,0,"San Pablo Ave. & Alcatraz Ave., Oakland","San Pablo Ave. & Alcatraz Ave., Oakland",37.8469795,-122.2847068,San Pablo Ave. & Alcatraz Ave.,10,SPAL,S.P.ALTZ,,S.P. ALTZ,Oakland,San Pablo Ave. & Alcatraz Ave.,,,San Pablo Ave. & Alcatraz Ave.,,,,1,1
3RD UNIV,Berkeley,Berkeley Amtrak,15,Berkeley Amtrak,2,Berkeley Amtrak,Berkeley Amtrak,37.8672750,-122.3006770,Berkeley Amtrak,03,3RUN,3RD UNIV,,3RD UNIV,Berkeley,Berkeley Amtrak,,,Berkeley Amtrak,,,,,
4TH UNIV,Berkeley,4th St. & University Ave.,25,4th St. & University Ave.,0,"4th St. & University Ave., Berkeley","4th St. & University Ave., Berkeley",37.8680288,-122.3000396,4th St. & University Ave.,03,4TUN,4TH UNIV,,4TH UNIV,Berkeley,4th St. & University Ave.,,,4th St. & University Ave.,,,,1,1
6TH GILM,Berkeley,6th St. & Gilman St.,20,6th St. & Gilman St.,1,"6th St. & Gilman St., Berkeley","6th St. & Gilman St., Berkeley",37.8791914,-122.3008615,6th St. & Gilman St.,03,6GLM,6TH GILM,,6TH GILM,Berkeley,6th St. & Gilman St.,,,,,,,1,1
6TH UNIV,Berkeley,6th St. & University Ave.,25,6th St. & University Ave.,2,"6th St. & University Ave., Berkeley","6th St. & University Ave., Berkeley",37.8680225,-122.2975372,6th St. & University Ave.,03,6TUN,6TH UNIV,,6TH UNIV,Berkeley,6th St. & University Ave.,,,,,,,1,1
CEDR S.P.,Berkeley,Cedar St. & San Pablo Ave.,26,Cedar St. & San Pablo Ave.,2,"Cedar St. & San Pablo Ave., Berkeley","Cedar St. & San Pablo Ave., Berkeley",37.8752710,-122.2939859,Cedar St. & San Pablo Ave.,03,CESP,CEDRS.P.,,CEDR S.P.,Berkeley,Cedar St. & San Pablo Ave.,,,,,,,1,1
S.P. GILM,Berkeley,San Pablo Ave. & Gilman St.,27,San Pablo Ave. & Gilman St.,1,"San Pablo Ave. & Gilman St., Berkeley","San Pablo Ave. & Gilman St., Berkeley",37.8803888,-122.2962945,San Pablo Ave. & Gilman St.,03,SPGI,S.P.GILM,,S.P. GILM,Berkeley,San Pablo Ave. & Gilman St.,,,,,,,1,1
CEDR SACT,Berkeley,Cedar St. & Sacramento St.,26,Cedar St. & Sacramento St.,0,"Cedar St. & Sacramento St., Berkeley","Cedar St. & Sacramento St., Berkeley",37.8765665,-122.2828890,Cedar St. & Sacramento St.,03,CESA,CEDRSACT,,CEDR SACT,Berkeley,Cedar St. & Sacramento St.,,,Cedar St. & Sacramento St.,,,,1,1
HOPK GILM,Berkeley,Hopkins St. & Gilman St.,24,Hopkins St. & Gilman St.,0,"Hopkins St. & Gilman St., Berkeley","Hopkins St. & Gilman St., Berkeley",37.8802014,-122.2847403,Hopkins St. & Gilman St.,03,HOGI,HOPKGILM,,HOPK GILM,Berkeley,Hopkins St. & Gilman St.,,,,,,,1,1
N.BK BART,Berkeley,North Berkeley BART,19,North Berkeley BART,2,North Berkeley BART,North Berkeley BART,37.8743994,-122.2826815,North Berkeley BART,03,NBBA,N.BKBART,,N.BK BART,Berkeley,North Berkeley BART,,,North Berkeley BART,,,,,0
UNIV S.P.,Berkeley,University Ave. & San Pablo Ave.,32,University Ave. & San Pablo Ave.,2,"University Ave. & San Pablo Ave., Berkeley","University Ave. & San Pablo Ave., Berkeley",37.8690711,-122.2921284,University Ave. & San Pablo Ave.,03,USSP,UNIVS.P.,,UNIV S.P.,Berkeley,University Ave. & San Pablo Ave.,,,University Ave. & San Pablo Ave.,,,,1,1
